x,sample,Patient,id,CellType,Epi,seurat_clusters,subtype,IM,BL1,MSL,M,BL2,LAR
PT126_P3_G11_S83,1234,PT126,P3,Epithelial,Epithelial,1,BL1,0.050246245,0.170975622,-0.074446219,-0.070152362,-0.010210014,-0.037068746
PT126_P3_G12_S84,1235,PT126,P3,Epithelial,Epithelial,4,BL1,0.10089507,0.046876107,-0.023175877,-0.085952601,-0.049665729,0.011629542
PT126_P3_H01_S85,1236,PT126,P3,Epithelial,Epithelial,4,BL1,0.064973916,0.048388581,-0.088350874,-0.053242417,-0.062444988,0.014645831
PT126_P3_H02_S86,1237,PT126,P3,Epithelial,Epithelial,1,BL1,0.095864561,0.134356323,-0.099079016,-0.047720345,-0.001936743,-0.056011205
PT126_P3_H03_S87,1238,PT126,P3,Epithelial,Epithelial,4,BL2,0.107333535,-0.008327051,-0.016192092,-0.067045216,0.036329075,0.026993187
PT126_P3_H04_S88,1239,PT126,P3,Epithelial,Epithelial,1,BL1,0.024686371,0.077614134,-0.092763529,-0.006712085,0.055760184,-3.50009E-05
PT126_P3_H05_S89,1240,PT126,P3,Epithelial,Epithelial,1,BL2,0.050558811,0.044164137,-0.058769705,-0.040778091,0.055133519,-0.016976813
PT126_P3_H06_S90,1241,PT126,P3,Epithelial,Epithelial,4,BL1,0.120249559,0.02436309,-0.022090246,-0.055027875,-0.067081171,0.000863957
PT126_P3_H07_S91,1242,PT126,P3,Epithelial,Epithelial,1,BL1,-0.03828022,0.295517534,-0.220989941,0.072174915,0.0007248,-0.106764618
PT126_P3_H08_S92,1243,PT126,P3,Epithelial,Epithelial,1,M,0.041179689,0.02966842,0.071151553,0.059009965,-0.110866749,-0.027817077
PT126_P3_H09_S93,1244,PT126,P3,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT126_P3_H10_S94,1245,PT126,P3,Epithelial,Epithelial,1,BL1,0.024877101,0.149939739,-0.107757099,0.024268866,0.058767402,-0.096655512
PT126_P3_H11_S95,1246,PT126,P3,Epithelial,Epithelial,1,BL1,-0.03329934,0.250301877,-0.203718238,0.072634475,-0.024398744,-0.094175375
PT126_P3_H12_S96,1247,PT126,P3,Epithelial,Epithelial,1,BL1,0.076921842,0.193304285,-0.150897003,-0.066924633,-0.043938883,-0.102271649
PT126_P7_A01_S97,1248,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A02_S98,1249,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A04_S100,1250,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A05_S101,1251,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A06_S102,1252,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A07_S103,1253,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A08_S104,1254,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A09_S105,1255,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A10_S106,1256,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A11_S107,1257,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_A12_S108,1258,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B01_S109,1259,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B02_S110,1260,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B03_S111,1261,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B04_S112,1262,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B05_S113,1263,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B06_S114,1264,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B07_S115,1265,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B08_S116,1266,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B09_S117,1267,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B10_S118,1268,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B11_S119,1269,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_B12_S120,1270,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C01_S121,1271,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C02_S122,1272,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C03_S123,1273,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C04_S124,1274,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C05_S125,1275,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C06_S126,1276,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C07_S127,1277,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C08_S128,1278,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C09_S129,1279,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C10_S130,1280,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C11_S131,1281,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_C12_S132,1282,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D01_S133,1283,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D02_S134,1284,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D03_S135,1285,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D04_S136,1286,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D05_S137,1287,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D06_S138,1288,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D07_S139,1289,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D08_S140,1290,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D09_S141,1291,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D10_S142,1292,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D11_S143,1293,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_D12_S144,1294,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E01_S145,1295,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E02_S146,1296,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E03_S147,1297,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E04_S148,1298,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E05_S149,1299,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E06_S150,1300,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E07_S151,1301,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E08_S152,1302,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E09_S153,1303,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E10_S154,1304,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E11_S155,1305,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_E12_S156,1306,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F01_S157,1307,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F02_S158,1308,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F03_S159,1309,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F04_S160,1310,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F05_S161,1311,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F06_S162,1312,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F07_S163,1313,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F08_S164,1314,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F09_S165,1315,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT126_P7_F10_S166,1316,PT126,P7,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
