x,sample,Patient,id,CellType,Epi,seurat_clusters,subtype,IM,BL1,MSL,M,BL2,LAR
PT039_P121_E03_S339,1393,PT039,P121,Endothelial,Other,15,NA,NA,NA,NA,NA,NA,NA
PT039_P121_E04_S340,1394,PT039,P121,Epithelial,Epithelial,2,BL1,-0.066181996,0.186853112,-0.136115684,0.179433022,-0.23695684,-0.119198071
PT039_P121_E05_S341,1395,PT039,P121,Epithelial,Epithelial,2,M,-0.383671817,0.059439717,0.049995265,0.502838904,0.069974469,-0.287053219
PT084_P121_E06_S342,1396,PT084,P121,Epithelial,Epithelial,1,BL1,0.013538042,0.318782191,-0.25032356,0.018933551,-0.033695562,-0.133011319
PT084_P121_E07_S343,1397,PT084,P121,Epithelial,Epithelial,1,BL1,0.172967593,0.193844298,-0.197372319,-0.144940465,0.030829843,-0.068232213
PT084_P121_E08_S344,1398,PT084,P121,Endothelial,Other,15,NA,NA,NA,NA,NA,NA,NA
PT084_P121_E09_S345,1399,PT084,P121,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT084_P121_E10_S346,1400,PT084,P121,Epithelial,Epithelial,5,BL1,0.08513549,0.061010827,-0.022206165,-0.066754251,-0.004976364,-0.010720078
PT084_P121_E11_S347,1401,PT084,P121,Epithelial,Epithelial,1,BL2,0.070267466,0.077904757,-0.072099481,-0.045156124,0.080275314,-0.054824832
PT084_P121_E12_S348,1402,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_F01_S349,1403,PT084,P121,Endothelial,Other,15,NA,NA,NA,NA,NA,NA,NA
PT084_P121_F02_S350,1404,PT084,P121,Epithelial,Epithelial,1,BL1,0.016628329,0.209052105,-0.085502377,-0.059502702,0.058221474,-0.090990985
PT084_P121_F03_S351,1405,PT084,P121,Epithelial,Epithelial,1,BL1,0.069727508,0.345194144,-0.237498128,-0.01125726,-0.042350629,-0.077950253
PT084_P121_F04_S352,1406,PT084,P121,Epithelial,Epithelial,10,BL1,0.142097272,0.102589037,-0.041617894,-0.101182171,-0.082696323,-0.03246577
PT084_P121_F05_S353,1407,PT084,P121,B cell,Other,12,NA,NA,NA,NA,NA,NA,NA
PT084_P121_F06_S354,1408,PT084,P121,Epithelial,Epithelial,1,BL1,0.163277148,0.096127042,0.003019305,-0.128589376,-0.034272537,-0.009332977
PT084_P121_F07_S355,1409,PT084,P121,Epithelial,Epithelial,11,LAR,-0.003216295,0.010536465,-0.143176317,-0.073835512,0.058354565,0.202004125
PT084_P121_F08_S356,1410,PT084,P121,Epithelial,Epithelial,1,LAR,0.157746692,-0.033132791,-0.191665943,-0.26743377,0.130129613,0.184809399
PT084_P121_F09_S357,1411,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_F10_S358,1412,PT084,P121,B cell,Other,12,NA,NA,NA,NA,NA,NA,NA
PT084_P121_F11_S359,1413,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_F12_S360,1414,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G01_S361,1415,PT084,P121,Epithelial,Epithelial,11,BL1,-0.039315995,0.180270473,-0.185910623,-0.017470122,-0.03407363,0.038680597
PT084_P121_G02_S362,1416,PT084,P121,Myoepithelial,Other,9,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G03_S363,1417,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G04_S364,1418,PT084,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G05_S365,1419,PT084,P121,Epithelial,Epithelial,1,BL1,0.135991891,0.172106864,-0.096087173,-0.06142336,-0.09783319,-0.128955869
PT084_P121_G06_S366,1420,PT084,P121,Epithelial,Epithelial,11,LAR,-0.021547847,-0.089194705,-0.089851988,-0.058191722,0.12380964,0.178889259
PT084_P121_G07_S367,1421,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G08_S368,1422,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G09_S369,1423,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G10_S370,1424,PT084,P121,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G11_S371,1425,PT084,P121,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT084_P121_G12_S372,1426,PT084,P121,Epithelial,Epithelial,11,LAR,0.053653477,0.049824759,-0.151685164,-0.133054888,-0.002535569,0.130859642
PT084_P121_H01_S373,1427,PT084,P121,Epithelial,Epithelial,10,BL1,-0.04025553,0.150092806,-0.067556384,0.030343424,-0.029376409,-0.051843577
PT084_P121_H02_S374,1428,PT084,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT084_P121_H03_S375,1429,PT084,P121,Epithelial,Epithelial,5,BL1,0.070698141,0.009501084,-0.034812822,-0.071195014,-0.119393254,-0.014780769
PT084_P121_H04_S376,1430,PT084,P121,Epithelial,Epithelial,4,BL1,0.065540401,0.049475306,-0.038313564,-0.024697718,-0.045924884,-0.024934069
PT084_P121_H05_S377,1431,PT084,P121,Stroma,Other,8,NA,NA,NA,NA,NA,NA,NA
PT084_P121_H06_S378,1432,PT084,P121,Epithelial,Epithelial,1,BL1,-0.067713565,0.109025923,-0.11381734,0.053452092,0.052050158,-0.052526503
PT084_P121_H07_S379,1433,PT084,P121,Epithelial,Epithelial,1,BL1,0.001671149,0.169510581,-0.126729688,0.034288974,-0.032208592,-0.070254434
PT084_P121_H08_S380,1434,PT084,P121,Epithelial,Epithelial,1,BL1,0.003600821,0.218159917,-0.19104336,0.002291181,-0.047332004,-0.095258964
PT084_P121_H09_S381,1435,PT084,P121,Epithelial,Epithelial,1,M,-0.017767444,0.032251457,-0.076799436,0.034339522,-0.003648634,0.004648998
PT084_P121_H10_S382,1436,PT084,P121,Epithelial,Epithelial,1,BL1,-0.010238186,0.219211057,-0.163845814,0.026065498,-0.041328648,-0.120617211
PT084_P121_H11_S383,1437,PT084,P121,Endothelial,Other,15,NA,NA,NA,NA,NA,NA,NA
PT084_P121_H12_S384,1438,PT084,P121,Epithelial,Epithelial,1,BL1,-0.063233412,0.261026809,-0.113247121,0.088661412,-0.057590484,-0.201284479
PT039_P10_A01_S193,1439,PT039,P10,Epithelial,Epithelial,1,M,-0.020669633,-0.042518539,0.104401084,0.04520452,0.030088056,-0.039753646
PT039_P10_A02_S194,1440,PT039,P10,Epithelial,Epithelial,4,BL1,0.097012943,0.079368631,-0.014526207,-0.062834455,-0.040586443,-0.061638211
PT039_P10_A03_S195,1441,PT039,P10,Epithelial,Epithelial,2,M,-0.234092868,0.295762519,-0.218822867,0.298875192,-0.104181997,-0.161319663
PT039_P10_A04_S196,1442,PT039,P10,Epithelial,Epithelial,4,BL1,0.057123982,0.030184829,-0.044596253,-0.102388002,0.015944098,-0.017089768
PT039_P10_A05_S197,1443,PT039,P10,Epithelial,Epithelial,1,BL2,0.042340878,-0.008627963,0.038701565,-0.042352107,0.09962976,-0.013531779
PT039_P10_A06_S198,1444,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_A07_S199,1445,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_A08_S200,1446,PT039,P10,Epithelial,Epithelial,4,BL1,0.009277224,0.013145615,0.013285084,-0.026200178,0.012719175,0.005560634
PT039_P10_A09_S201,1447,PT039,P10,Epithelial,Epithelial,2,BL1,-0.166182184,0.337306611,-0.204522441,0.330962132,-0.262826656,-0.198819569
PT039_P10_A10_S202,1448,PT039,P10,Endothelial,Other,15,NA,NA,NA,NA,NA,NA,NA
PT039_P10_A11_S203,1449,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_A12_S204,1450,PT039,P10,Epithelial,Epithelial,2,M,-0.080745107,0.135954997,-0.090021577,0.217484483,-0.134974769,-0.10505276
PT039_P10_B01_S205,1451,PT039,P10,Epithelial,Epithelial,1,BL1,0.01512051,0.060269323,0.003374821,-0.007166795,-0.001213622,-0.017749818
PT039_P10_B02_S206,1452,PT039,P10,Epithelial,Epithelial,2,BL1,-0.195282163,0.321603245,-0.199396506,0.275530335,-0.19506288,-0.151223546
PT039_P10_B03_S207,1453,PT039,P10,Epithelial,Epithelial,4,LAR,0.099233293,0.01490101,-0.012281617,-0.073378787,-0.086525031,0.019514389
PT039_P10_B04_S208,1454,PT039,P10,Epithelial,Epithelial,5,BL1,0.035748988,0.064710122,0.016158757,-0.135266438,-0.032942952,0.007305184
PT039_P10_B05_S209,1455,PT039,P10,Epithelial,Epithelial,2,M,-0.225642836,0.270941318,-0.149302432,0.27563145,-0.270547047,-0.179902432
PT039_P10_B06_S210,1456,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_B07_S211,1457,PT039,P10,Epithelial,Epithelial,2,BL1,-0.186178417,0.31668046,-0.171822147,0.28177148,-0.156354616,-0.169173554
PT039_P10_B08_S212,1458,PT039,P10,Epithelial,Epithelial,4,LAR,-0.026628503,0.011771967,-0.039189026,0.021618442,-0.033009195,0.028700473
PT039_P10_B09_S213,1459,PT039,P10,Epithelial,Epithelial,4,LAR,0.07757586,-0.027787232,0.01598191,-0.080838489,0.063547533,0.085827446
PT039_P10_B10_S214,1460,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_B11_S215,1461,PT039,P10,Epithelial,Epithelial,4,M,-0.017569856,0.026611371,-0.033793107,0.057145915,-0.097873636,0.021753292
PT039_P10_B12_S216,1462,PT039,P10,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT039_P10_C01_S217,1463,PT039,P10,Epithelial,Epithelial,1,M,0.021180242,-0.001241074,-0.016730454,0.018485724,0.000162516,-0.030452766
PT039_P10_C02_S218,1464,PT039,P10,Endothelial,Other,15,NA,NA,NA,NA,NA,NA,NA
PT039_P10_C03_S219,1465,PT039,P10,Epithelial,Epithelial,2,M,-0.119246003,0.231487819,-0.132630574,0.241684447,-0.213895879,-0.152338742
PT039_P10_C04_S220,1466,PT039,P10,Epithelial,Epithelial,5,BL1,0.032344354,0.026694353,-0.036012345,-0.073489788,-0.027268672,0.001073662
PT039_P10_C05_S221,1467,PT039,P10,Epithelial,Epithelial,2,BL1,0.084246203,0.261101429,-0.175595792,-0.030104822,-0.084174097,-0.176017875
PT039_P10_C06_S222,1468,PT039,P10,Epithelial,Epithelial,4,BL1,0.125827846,1.48863E-05,0.004891514,-0.126047687,-0.028200304,-0.017571111
PT039_P10_C07_S223,1469,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_C08_S224,1470,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_C09_S225,1471,PT039,P10,Epithelial,Epithelial,1,BL2,0.019501295,-0.028237775,0.018380235,-0.011283888,0.121779613,-0.02771899
PT039_P10_C10_S226,1472,PT039,P10,Epithelial,Epithelial,2,BL1,-0.194214175,0.429364236,-0.266047706,0.255707062,-0.175856344,-0.202926587
PT039_P10_C11_S227,1473,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_C12_S228,1474,PT039,P10,Epithelial,Epithelial,2,BL1,-0.195092041,0.31174061,-0.198657673,0.309923743,-0.273509981,-0.218630588
PT039_P10_D01_S229,1475,PT039,P10,Epithelial,Epithelial,4,BL2,-0.01913844,-0.010002058,0.056222547,-0.030064301,0.127820403,-0.002323456
PT039_P10_D02_S230,1476,PT039,P10,Epithelial,Epithelial,1,BL2,0.088711772,-0.020231949,0.047719041,-0.028134342,0.055739213,-0.02672914
PT039_P10_D03_S231,1477,PT039,P10,Epithelial,Epithelial,2,BL1,-0.102563959,0.178437809,-0.179316861,0.164533801,-0.017450159,-0.125823191
PT039_P10_D04_S232,1478,PT039,P10,Epithelial,Epithelial,2,M,-0.267682658,0.277782875,-0.233321234,0.344925768,-0.068861073,-0.165027684
PT039_P10_D05_S233,1479,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_D06_S234,1480,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_D07_S235,1481,PT039,P10,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT039_P10_D08_S236,1482,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_D09_S237,1483,PT039,P10,Epithelial,Epithelial,2,M,-0.052404637,0.13727072,-0.087229518,0.144404017,-0.113002331,-0.122192639
PT039_P10_D10_S238,1484,PT039,P10,Epithelial,Epithelial,1,BL1,-0.275443704,0.354855821,-0.253694904,0.34503688,-0.04240158,-0.200580089
PT039_P10_D11_S239,1485,PT039,P10,Epithelial,Epithelial,4,LAR,0.100431335,-0.037752034,-0.012486254,-0.139500255,-0.042773361,0.005333897
PT039_P10_D12_S240,1486,PT039,P10,Epithelial,Epithelial,4,LAR,0.115870095,-0.02944441,-0.018024314,-0.148828147,0.025859484,0.028977615
PT039_P10_E01_S241,1487,PT039,P10,Epithelial,Epithelial,1,M,-0.079340569,0.044883936,-0.061221147,0.090770075,-0.121482844,-0.019081344
PT039_P10_E02_S242,1488,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_E03_S243,1489,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_E04_S244,1490,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_E05_S245,1491,PT039,P10,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT039_P10_E06_S246,1492,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_E07_S247,1493,PT039,P10,Epithelial,Epithelial,1,LAR,0.074399471,0.008867965,0.01040337,-0.05746331,-0.101494042,0.04294215
PT039_P10_E08_S248,1494,PT039,P10,Epithelial,Epithelial,4,BL1,0.063499193,0.058824137,-0.039437147,-0.034764511,-0.157951759,0.038989402
PT039_P10_E09_S249,1495,PT039,P10,Epithelial,Epithelial,5,BL2,-0.0113226,0.017007471,0.009774981,0.016606063,0.024336677,-0.004700032
PT039_P10_E10_S250,1496,PT039,P10,Epithelial,Epithelial,5,LAR,0.094997999,-0.03334902,-0.056724018,-0.079024768,-0.07926101,0.017677762
PT039_P10_E11_S251,1497,PT039,P10,Epithelial,Epithelial,5,BL2,0.136001743,0.051687127,-0.069019689,-0.123984509,0.170277548,-0.02675642
PT039_P10_E12_S252,1498,PT039,P10,Epithelial,Epithelial,5,BL1,0.153016085,0.008460965,0.002427973,-0.136242771,-0.023330024,-0.002923842
PT039_P10_F01_S253,1499,PT039,P10,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT039_P10_F02_S254,1500,PT039,P10,Lymphocyte,Other,3,NA,NA,NA,NA,NA,NA,NA
PT039_P10_F03_S255,1501,PT039,P10,Epithelial,Epithelial,1,BL2,-0.005849189,0.021789897,0.072910821,-0.022241519,0.035056077,-0.056136608
PT039_P10_F04_S256,1502,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_F05_S257,1503,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_F06_S258,1504,PT039,P10,Epithelial,Epithelial,1,BL2,-0.106236797,-0.095738055,0.125729754,0.059477923,0.146614553,-0.02004282
PT039_P10_F07_S259,1505,PT039,P10,Epithelial,Epithelial,4,BL1,0.018135525,0.061544385,-0.039026882,0.027612056,-0.108990448,0.036748433
PT039_P10_F08_S260,1506,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_F09_S261,1507,PT039,P10,Epithelial,Epithelial,4,BL2,0.001345591,-0.01808686,0.017813914,-0.011772349,0.070196461,0.057576506
PT039_P10_F10_S262,1508,PT039,P10,Epithelial,Epithelial,4,BL1,0.133933831,0.071717582,-0.027819374,-0.079889446,-0.0553564,-0.059581669
PT039_P10_F11_S263,1509,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_F12_S264,1510,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_G01_S265,1511,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_G02_S266,1512,PT039,P10,Epithelial,Epithelial,1,BL2,0.040846441,-0.00719199,0.052015837,0.006084891,0.179060557,-0.073621864
PT039_P10_G03_S267,1513,PT039,P10,Epithelial,Epithelial,2,BL1,-0.218274546,0.368278506,-0.217492706,0.299651298,-0.295371475,-0.216059163
PT039_P10_G04_S268,1514,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_G05_S269,1515,PT039,P10,Epithelial,Epithelial,2,M,-0.218786441,0.211828191,-0.085979953,0.276315359,-0.002549857,-0.111572784
PT039_P10_G06_S270,1516,PT039,P10,Epithelial,Epithelial,2,BL1,-0.070898798,0.2185357,-0.161426356,0.057407236,-0.100062029,-0.076586675
PT039_P10_G07_S271,1517,PT039,P10,Epithelial,Epithelial,2,M,-0.222865139,0.170300281,-0.086177994,0.326007996,-0.113443751,-0.177123594
PT039_P10_G08_S272,1518,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_G09_S273,1519,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_G10_S274,1520,PT039,P10,Epithelial,Epithelial,1,BL2,0.169934604,-0.050336981,0.011191853,-0.190040036,0.02608856,-0.043144752
PT039_P10_G11_S275,1521,PT039,P10,Epithelial,Epithelial,4,BL1,0.027138866,0.071009319,0.003907359,-0.026078347,-0.026705404,-0.039436059
PT039_P10_G12_S276,1522,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_H01_S277,1523,PT039,P10,Stroma,Other,13,NA,NA,NA,NA,NA,NA,NA
PT039_P10_H02_S278,1524,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_H03_S279,1525,PT039,P10,Epithelial,Epithelial,4,M,-0.058544184,0.092026109,-0.049542883,0.125315461,-0.102268767,-0.049976446
PT039_P10_H04_S280,1526,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_H05_S281,1527,PT039,P10,Epithelial,Epithelial,1,M,-0.088947578,-0.023101058,0.029713712,0.115785235,-0.035394472,-0.037353921
PT039_P10_H06_S282,1528,PT039,P10,Epithelial,Epithelial,1,BL2,0.070417099,-0.003194297,0.070562853,-0.021251867,0.042040286,-0.07737138
PT039_P10_H07_S283,1529,PT039,P10,Epithelial,Epithelial,2,M,-0.027517031,0.070852014,-0.106027834,0.125753615,0.046121452,-0.086450622
PT039_P10_H08_S284,1530,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT039_P10_H09_S285,1531,PT039,P10,Epithelial,Epithelial,2,BL1,-0.170190514,0.320858114,-0.261813731,0.235493676,-0.107197282,-0.253518241
PT039_P10_H10_S286,1532,PT039,P10,Epithelial,Epithelial,1,BL1,0.062837908,0.006598569,0.021049112,-0.019326441,-0.061652397,-0.022885691
PT039_P10_H11_S287,1533,PT039,P10,Epithelial,Epithelial,4,BL2,0.179293273,-0.043962748,-0.014258175,-0.208981167,0.039224096,0.033813433
PT039_P10_H12_S288,1534,PT039,P10,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
