Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
PPFIA1_8500.,-3.017498081,2.627759022,-0.046944415,0.164951254
MT4_84560.,3.01600543,-1.703116469,-0.952836751,-0.605842742
HLA.DOB_3112.,-3.014397215,1.077070715,0.852881374,0.679131058
SCGN_10590.,-3.012983691,0.945601422,1.203031768,0.862635586
IQCK_124152.,-3.011585879,0.647386729,0.820372824,0.09258578
HIST1H3G_8355.,-3.009067431,1.464239722,1.3522124,-0.173131869
C1orf137_388667.,-3.00898521,0.639503712,0.637670522,0.213528062
DERL3_91319.,3.005569607,-0.347406771,-0.022457054,-1.28237409
UBE2J2_118424.,-3.001491519,2.109254958,0.177626403,0.002174594
SBNO2_22904.,-2.999653955,1.326800649,0.760035854,0.1553463
C19orf60_55049.,-2.996240326,1.245003109,-0.160087695,1.139290698
PLCXD3_345557.,2.990247017,-0.888359824,-1.183802018,-0.020095834
FAM213A_84293.,-2.988105827,-0.359797742,0.300449876,0.967190258
PPIAL4B_653505.,-2.984846139,0.228796005,-1.054824176,1.265398064
NHLRC1_378884.,-2.977741841,1.479644119,0.616604613,-0.636239608
GOLGA4_2803.,-2.972989369,0.779875605,0.13058174,0.870396309
ABCB11_8647.,-2.972469112,1.126095688,0.074838858,0.673876564
CASP1_834.,-2.971408065,2.012051424,-0.021204093,-0.069989374
HSDL2_84263.,-2.969983675,1.248531322,-0.120574042,0.556512172
RNF181_51255.,-2.964716699,0.233235192,-0.071560066,1.761713581
CDH5_1003.,2.963179532,-1.192143516,-1.032268416,-0.361807779
RAB12_201475.,2.953724608,-2.416150796,-0.093946559,0.937251635
FAM13C_220965.,-2.946509681,0.126657641,0.250401058,1.268050305
PLEKHG1_57480.,-2.942104246,1.71820201,0.069404113,0.653114329
CMPK1_51727.,-2.941403219,0.947166424,0.911604525,-0.140600959
HIST1H2AK_8330.,-2.938509384,-0.02277311,2.161866113,0.063425854
SPEF1_25876.,-2.933146164,0.971112863,-0.144415524,1.199811653
IVNS1ABP_10625.,2.93256369,-0.331797117,0.386380307,-0.6815132
MPV17L2_84769.,-2.932438883,0.915573145,0.726991996,0.162846468
MAPRE1_22919.,-2.930958007,-0.010324927,0.504078351,0.317159332
ZNF287_57336.,2.928553751,-0.264669406,-0.412366385,-0.166240523
MAD2L1BP_9587.,-2.927902685,1.626356108,-0.293312461,2.124755988
CFC1B_653275.,-2.92546848,1.815414474,-0.326046603,1.216335404
P2RX1_5023.,2.914282206,-0.537712475,-0.821371599,0.07687716
PCMT1_5110.,-2.912834282,1.754484192,2.010388519,-1.684784571
KCNN4_3783.,2.909741102,-1.148777919,1.053627724,-1.404054283
P2RY13_53829.,-2.908072965,3.428980277,0.19448131,-0.252246031
HSD11B1L_374875.,-2.90763396,0.354059876,0.232642928,0.568045495
PLEKHB2_55041.,-2.906664751,0.774880576,0.97267302,0.482130422
ERMARD_55780.,-2.905604458,1.305028644,0.064623322,-0.215978731
CLK1_1195.,-2.905006144,1.899996441,0.261360284,-0.682162224
HSPA4_3308.,-2.898489896,1.394632361,-0.962080546,1.719111312
PROC_5624.,-2.898071121,2.46814949,1.118760502,-0.149519755
HSPA12B_116835.,-2.894480901,1.857526257,0.957126052,1.069330698
SLC6A2_6530.,2.892563256,-1.51036103,-1.257206217,0.286224991
NOL7_51406.,-2.891222548,0.351738945,0.938596472,0.164372631
MZT2B_80097.,-2.890792276,0.599836381,-0.27426342,1.566925082
ANKRD23_200539.,-2.890235167,0.608146843,-0.213411751,1.756137065
MZT2A_653784.,-2.8855904,0.954289827,-0.566343406,0.79745116
ARRDC5_645432.,-2.881155376,1.366772412,2.113328898,0.008702296
FAHD2A_51011.,-2.88083315,0.214632567,0.383676922,1.137287545
NSUN5_55695.,-2.880278002,1.762832439,1.290857728,-1.017025899
TGFB2_7042.,-2.877393581,1.707572064,0.710866361,-0.159112767
CACNG5_27091.,2.874634899,-0.275636316,-1.07475789,-0.630073217
INSIG2_51141.,-2.872684598,1.577366128,0.49730086,0.493664931
EXO5_64789.,-2.87108368,1.363416831,-0.656978348,1.38400112
ARFGEF2_10564.,-2.868519842,0.575402854,1.752492162,0.007874505
FAM72B_653820.,-2.866658497,0.559892645,0.087972297,-0.032939974
SP9_100131390.,-2.862847967,0.732345122,-0.204390296,1.248120835
CEP57L1_285753.,-2.861937298,1.208355658,1.080590745,-0.176886408
LRRC55_219527.,2.861818628,-0.938884347,0.841541498,-0.411455547
NEB_4703.,-2.860297205,0.670237158,1.580911911,0.690695511
HIST1H1A_3024.,-2.858983006,1.134065539,0.061827159,1.42715194
AIP_9049.,-2.847989952,1.948186587,-0.596651691,1.44003793
NIM1K_167359.,2.844029344,0.455080031,-1.363556133,0.033511488
C7_730.,2.842243406,-2.046338683,-1.797758458,0.585563844
PLCH2_9651.,-2.838776295,2.817907946,-1.177597695,0.625630236
MEP1A_4224.,-2.832323565,2.346072305,0.52741103,0.453180255
GOSR2_9570.,2.832047938,-0.998562678,0.383570309,-0.26691253
ALDH5A1_7915.,-2.831737843,0.514983673,0.705535983,1.410415282
MMP28_79148.,-2.829482991,0.411560663,-0.099672779,1.639658925
FGF10_2255.,2.827825624,-1.02033262,-0.584588948,-0.641371993
GALNT5_11227.,-2.826046701,1.926030247,0.891920741,-1.52449172
HIST1H2BE_8344.,-2.822021861,0.900895557,0.70539948,-0.348537449
H2AFJ_55766.,-2.820132042,0.659429204,1.623948022,-0.937460437
IFIH1_64135.,-2.8179519,0.576355238,2.191363552,-0.62967188
C2orf15_150590.,-2.807250333,0.250838304,0.650529936,1.252697905
PCDHGA5_56110.,-2.803277339,1.901013574,0.528703034,-0.322735306
GPR183_1880.,-2.800851174,1.838270423,1.406511863,-0.306230724
TCF19_6941.,-2.795567673,1.320281274,0.431477708,1.289059689
CYP4F12_66002.,2.791414768,-1.040382303,0.390058998,-0.016290056
PIGT_51604.,-2.789084025,0.759132154,0.479344748,-0.366386574
FAM129C_199786.,-2.786979249,0.467061605,0.817260122,0.285590611
TRNAU1AP_54952.,-2.779327889,1.253027408,-0.209270144,0.837755365
RAB39A_54734.,-2.775263032,1.449060456,0.255365623,0.302209497
GAREML_150946.,2.767215486,-0.240035237,0.851025436,-0.644285373
AGMAT_79814.,-2.766612159,2.184965943,-0.567810294,1.046617334
CUTA_51596.,-2.759133727,1.225533177,1.354996748,0.78810937
VWA3A_146177.,-2.75692733,1.2233786,0.162832905,0.345355887
TOLLIP_54472.,2.753080567,-0.837476743,-1.020134113,0.01555369
OR2M4_26245.,2.744186728,-0.22930443,-0.112917641,-0.942780944
FSIP2_401024.,-2.742036575,1.849332798,2.052115518,-0.288239317
