Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
NSMCE4A,-3.447361927,2.690398187,-0.340941396,2.62396635
SP7,3.437151327,-1.76774242,2.03329417,-1.205506048
MATK,-3.43637921,3.935782393,-0.900191832,1.091457466
SSH2,-3.436266903,3.253468416,-0.946336375,1.321090477
CORO1A,-3.433211167,1.39121517,-1.252878743,1.376505196
TPI1,3.430297826,-2.406633647,2.887104724,-2.267284982
SMG6,-3.426799547,4.415059153,-0.099136399,2.284212215
FEN1,-3.415556169,2.322119491,-0.415940596,1.508848861
GPR139,3.407830285,-4.62661097,0.599442347,-1.00814242
COG8,-3.417149625,2.534578588,0.020404928,1.377477396
KCNV2,-3.406851197,4.059113903,-1.365841193,2.282433639
FAM193B,-3.41499047,3.347396697,-1.289080382,3.346990613
SNW1,-3.402657662,2.920620944,-0.850238822,1.942408849
FOXJ2,-3.398510488,2.766403855,-1.749995101,2.627413313
RANBP17,-3.976832739,0.748579829,-0.965441423,0.056724364
CELF4,3.37397098,-2.935437884,0.4110693,-1.841651768
TLX3,3.619947592,0.585830949,0.319308949,-2.067276357
TSSK6,-3.37174101,2.431475989,-2.489921765,2.006291694
KBTBD2,3.371489102,-3.206703954,0.855490984,-1.701166121
SUPV3L1,-3.368696731,3.269199088,1.309496069,0.312576517
FYTTD1,-3.371152263,2.507877888,-0.547243651,1.78464808
ZNF833P,3.367721972,-4.034696339,1.041546885,-1.67512329
NIM1K,3.350179488,-2.042949198,0.386426988,-2.037306572
NOL4L,-4.749513987,3.416458418,0.003841774,1.450325685
DHX15,-3.347124222,1.917865447,-2.61172176,3.260647574
FGFRL1,-3.338792878,2.667673184,-1.189777386,1.004713134
POLN,3.337883334,-2.524808504,0.480603431,-1.534698172
SLC17A2,-3.346052858,3.81760683,-0.84033271,1.34225894
RBPMS,3.683888386,-1.746840465,0.416376915,-1.19625634
CENPH,-3.325383963,3.43434709,-0.163726436,1.271344978
CCND3,-3.321369009,1.676646708,-1.236099347,0.738600242
PLBD1,3.324531043,-2.124320392,0.282182797,-2.351451075
PABPC1,-3.314451361,2.719827028,-0.197855039,0.808891524
C6orf201,4.668517299,-1.55474864,0.283148138,-1.732571923
CLVS2,-3.311083879,2.370807228,-0.459104094,1.422411148
UBL5,-3.310297499,2.527594798,-0.497390106,1.075016874
C12orf60,3.31852274,-1.91099205,1.452143953,-1.658324752
SOCS1,-3.309192433,3.812967689,0.094329462,1.040849106
GPR173,-3.306298226,2.3231707,-0.694113919,1.367940541
SFMBT1,-3.305863288,3.542741249,-0.297249405,2.379813907
MBL2,-3.303946904,1.433593506,-2.07683887,2.119182619
ZNF70,-3.305551605,2.996871868,-0.042488338,1.162474215
KCNMA1,-3.295027565,2.322651425,-2.066263792,2.488244656
F8A1,-3.301317776,2.651097528,-1.546324925,1.909254513
ABCB8,-3.289802915,3.454861357,-0.114465746,0.880523279
RFFL,3.289382792,-2.783958685,1.130769047,-2.327762394
LIMD2,-3.295894594,2.495000938,-0.754269994,1.379820945
RPA3,-3.286049319,2.166619432,-2.200724722,3.501118509
PROKR1,-3.284575541,2.274353036,-0.690940093,0.973444506
IL2RA,-3.281250678,2.536827155,-0.565085208,2.26539591
HYAL2,-3.287411621,2.080736425,-1.310940968,1.371140506
AUH,3.268994961,-3.854012982,0.938302612,-2.660261833
CIAPIN1,-3.273774312,1.79159037,-2.216216673,1.610395715
FOXN2,-3.264232487,1.908204936,-1.537513005,1.930596338
RABGGTB,3.262865692,-3.109706859,0.488425326,-1.761994171
IL11,-3.266269786,3.539585341,-0.360421166,0.115600177
KMT2B,3.255669,-2.322071124,0.350540069,-1.894539994
TLR5,3.251824921,-3.609285045,0.077847968,-1.719669082
FNBP1L,3.244502163,-0.919152569,1.355817968,-2.300244446
GRPEL1,-3.252118516,3.415726377,-1.088580897,2.660641045
HM13,-3.238881527,3.218511507,-1.111296333,1.58107195
GPR150,-3.237453475,1.370022684,-0.356709297,1.5383891
FBXO30,-3.242153087,3.222697562,-1.45257376,1.310138138
MCRS1,-3.230811756,1.598167579,-0.628518632,1.639299025
HAL,3.227001979,-2.457660055,0.235997081,-1.013309402
STAT5B,3.223826573,-3.323082446,0.455366983,-1.496548436
NCBP2,-3.214724436,2.118882194,-0.519394946,1.675127334
UFM1,-3.218670743,2.757292644,-0.638424845,1.284397742
KIF2C,3.210012558,-1.95744563,0.253642294,-0.501524707
ISL1,3.208357738,-3.072030797,1.143462915,-1.839328271
HSP90AB1,-3.202122985,3.419917011,-2.00369639,3.561270667
BBS5,3.210355334,-3.044465627,0.187899841,-0.313213696
CYP11B2,-3.20071042,3.39039057,-1.247139884,0.737316872
TBC1D24,-3.671587373,0.828331402,0.334809423,-0.007169972
CA11,-3.54591702,1.774768388,0.417622725,0.856130649
KIF6,3.167332225,-2.504187722,1.183509374,-1.980853602
TPK1,-3.167525352,1.838107393,-0.785397836,2.580135867
GPNMB,3.158731876,-2.880896719,0.500433253,-1.663772366
POLR2L,-3.165621214,3.023925364,-0.043335719,1.933647212
CCHCR1,-3.164326083,2.750790053,0.512312705,0.028839952
CACNA1D,3.155870471,-2.265924766,1.616661075,-2.585181791
AKR1D1,3.154871454,-3.267196584,1.493004078,-1.970146247
MATN2,-3.152860971,1.773313142,-1.268774686,2.098892693
FAM47B,-3.15783407,1.892024032,-0.379699794,1.395545901
KIAA1524,-3.153654338,1.565484108,-0.100154638,1.904729949
SETX,3.145623995,-2.669192117,0.563867149,-0.71313199
CSF2,3.151566851,-3.3074944,0.431692477,-1.073047564
UBE2R2,-3.138975825,2.751883051,-0.299245169,0.713558719
TERF2IP,3.138260912,-2.191864855,2.422997364,-1.184265996
FLRT1,3.134088651,-3.399072001,0.915750274,-1.117574465
PGAP3,-3.429666319,0.859633735,1.428329557,0.009837828
GPR12,-3.126340716,3.224213323,-1.487186714,1.766561126
CYP2F1,3.124616166,-1.793065694,0.667498325,-2.786355357
PDE1B,3.121136338,-1.607979231,1.547810688,-2.826333311
NISCH,-3.510817278,1.48981273,0.646253095,0.805900291
NLRP5,-3.124996568,1.689243849,-0.622523517,0.975302374
PLCD1,-3.124986902,2.440493546,-0.446865439,1.548856215
FER,-3.114583911,1.542290131,-0.586012365,0.86340651
SGCA,3.110591633,-2.216837958,0.911115013,-2.567395773
RNPC3,3.108608059,-1.594845106,-0.1976344,-0.28825874
DHX36,-3.104303757,2.353075826,0.445430645,0.627248358
AMPD2,-3.105794651,2.105423458,0.22996985,0.135644813
CYP27C1,3.095280187,-1.689449999,0.921824943,-2.168130486
OR7A17,-3.100831615,1.564448635,-2.045396564,1.367554153
MUTYH,-3.090638744,3.282361696,-1.511079148,1.864132148
POMC,-3.096023944,2.716605056,-1.073274698,1.328874965
TIMM8A,-3.093676645,1.280415199,-0.551318373,1.522245524
PDZD11,3.090693566,-2.366523256,1.016111713,-2.842172719
ATP5F1,3.090126791,-2.100758515,0.974277511,-3.331032439
LARGE1,-3.088457211,3.044840957,1.242132593,0.534933555
BAZ2B,-3.080488619,2.528743067,-1.082369413,2.022960212
XAF1,-3.076825646,3.190765231,-2.087515767,1.558584005
NUP98,-3.076772059,2.676959934,0.289983271,1.052872332
MREG,3.072546224,-2.411714525,1.387940159,-1.156359724
PCDHGB5,-3.078935019,2.234584333,-1.287782531,1.628997849
CMKLR1,-3.067849588,4.326507383,-1.185155116,0.947968028
SLC22A5,-3.075327414,2.956146251,-0.656555958,0.397122862
F2RL3,3.065983077,-2.260573371,0.586811078,-1.183992251
RNF217-AS1,-3.494518936,0.015867325,-1.148023166,1.275716812
C1QTNF5&MFRP,-3.060669017,1.340499898,-0.78518171,0.827741227
GNPAT,3.381409851,-3.083294809,-0.203728009,-1.567035463
SERHL,-3.065007722,1.718887076,-0.620425295,2.327097282
SLC35G5,4.114197732,-0.798443064,1.135047057,-2.389981692
CCDC170,3.061584232,-2.505932196,0.003257034,-1.239199001
MORF4L1,-3.04915359,2.353939322,-1.221372877,2.036543294
OGDH,-3.048162028,3.227052577,-0.395039593,1.180627694
WT1,3.046523432,-3.867058933,0.957070187,-1.545426026
HMGB4,-3.039319088,1.892406197,-1.651062531,2.290951248
HERC2P9,-3.043001575,1.859319217,-1.599179548,1.63665883
CCL4L1,-3.028357002,2.23931059,0.086788477,1.637050961
C1QC,-3.023992242,2.865315563,0.498950992,0.752816038
DRD4,-3.022269299,2.928526726,-0.657625588,0.948982293
SETD9,-3.018509634,3.801925988,-0.970068302,1.065114683
SLC35A2,-3.023638201,2.112246193,-0.853849754,1.256366895
RIMS1,-3.327397894,0.681362079,-0.20765773,3.010129426
TFPI,-3.016016906,2.83749963,-1.211291235,0.268888339
TVP23C,-3.022941273,1.210833536,0.49497904,1.123436672
GOSR2,-3.021943048,1.891590357,-0.255499292,1.035970658
RALGPS2,-3.010792729,1.729597071,-0.884995649,0.73995154
PPIL4,3.007460074,-1.662844923,0.455733636,-0.944020531
KLRA1P,-3.004851963,1.527743303,-1.82379777,2.906223757
OR2B11,-3.355863259,2.375162557,0.691538501,-0.839467808
RNF138,-3.180788504,0.872826347,1.152668613,0.199397448
LAX1,3.001022747,-1.178633834,-1.09116231,-1.59097284
PTPN14,-2.995642194,3.296439872,0.41434631,2.384992348
ZNF670-ZNF695,-3.001202573,2.866051102,-1.025311962,0.705787698
CFHR2,2.994005221,-3.174432688,0.62023264,-1.299457006
NAT10,2.993992506,-3.213228568,2.038161373,-1.956324513
CSDC2,-3.00010358,2.747346433,-1.331839172,2.024256113
FOXO3B,2.992115117,-1.574963139,-0.984296772,-0.230556359
GDF10,-2.996835424,3.327651865,-1.952127189,1.964304028
S100A6,2.994730766,-0.558214458,0.627866068,-2.067580745
SLITRK1,-2.984831188,2.571812263,-0.93998289,1.389017041
MMRN1,2.982063775,-1.892442714,0.551113642,-1.077120671
SREK1,-2.978759592,3.993655346,-0.12779538,1.00316306
SERAC1,-2.984070341,3.628949894,-1.749463307,1.990876709
P2RY4,-2.966044215,1.547619388,-1.050753414,0.59560419
EIF2B3,-2.96283966,2.517623983,0.571053181,0.738978052
SMAD9,2.954794909,-2.744784948,-0.670178906,-0.389838645
SDHB,-2.951011348,3.714924599,-1.010704643,0.362860813
RABEP1,2.949202653,-2.594239344,1.365002706,-1.982935361
ICA1L,-2.955517197,1.696599874,-1.45765322,1.417877317
PGRMC1,-3.119580676,1.263380635,1.404520948,0.586118058
STXBP4,-2.954046997,1.754780173,-0.247141117,0.659320187
GALNT15,-2.951561647,2.554075029,-2.571678673,2.743432077
HSD17B4,-2.944641627,2.723284027,-2.01782479,2.29207438
TNFRSF10A,-2.943915442,3.922714289,-1.655773205,0.930162945
RIPK3,-2.943630068,2.188800202,-0.834575216,2.185910216
SRSF3,-2.943097169,2.106963798,-0.438309663,1.319489741
REV3L,-2.942649213,2.299415178,0.341144601,1.858488773
APOB,-2.940385088,2.979083711,-2.391252689,3.49106014
MT1F,-2.94699986,3.330244407,0.42054261,0.857962735
PRR19,-2.945569577,2.349531796,-0.329223004,1.624055113
INMT,-2.945013157,2.255137727,-1.819279292,3.967624042
TBP,-2.937465478,3.002030754,-1.433938316,2.084811934
EFCAB7,2.937877316,-1.572542712,0.730481263,-3.133129919
SPTLC1,2.931126419,-2.125619357,0.412189489,-1.44198436
GJA3,-2.929757712,4.138216351,-0.726012918,1.298776403
COX6A1,-2.928268979,2.278330761,0.240747948,1.529469656
ARHGAP23,-2.926528962,3.321834997,-1.801890764,1.453648407
COL27A1,-2.921747324,2.448860074,-2.314270382,1.455839529
LOXL2,2.919289286,-1.43510544,0.730076955,-0.778682385
POLR1D,-2.924220508,2.695436728,0.653669048,0.303241945
DUSP11,-2.917096893,3.444728175,0.547671474,-0.476611224
