GENES
HOXA1
HOXA13
HOXA3
HOXA4
HOXA5
HOXA7
HOXB13
HOXB8
HOXB9
HOXC10
HOXC13
HOXD11
HOXD13
HOXD8
NKX1-2
NKX2-2
NKX2-3
NKX2-5
NKX3-1
NKX3-2
